id,name,key_skills,work_format_name,experience,specialization_id
119441524,Менеджер проектных продаж (направление мониторинга мостов),"B2B Продажи, Активные продажи",На месте работодателя,От 1 года до 3 лет,107
114802204,Специалист по информационной безопасности,"Информационная безопасность, Управление информационной безопасностью, DLP, Тестирование безопасности, Служебные расследования, Аудит информационной безопасности, ИТ-инфраструктура, Виртуализация, Защита персональных данных",На месте работодателя,От 1 года до 3 лет,116
120010144,Build-инженер/программист,"CMake, C++, Python, Bash",,От 3 до 6 лет,160
119710096,Менеджер спецпроектов (стажер),,Удалённо,Нет опыта,107
119656589,Руководитель проекта-Прораб (малоэтажное строительство),"Организаторские навыки, Руководство коллективом, Проектная документация, Малоэтажное строительство, Управление проектами, Ориентация на результат, Строительный контроль",,От 1 года до 3 лет,107
119334114,Системный администратор,,,,
120071524,Менеджер по информационной безопасности приложений,,,,
120026106,Системный аналитик Senior,,,,
118293663,Заместитель начальника отдела эксплуатации сетей связи,,,,
119910178,Системный аналитик (Senior),,,,
115246739,Главный специалист по ИТ инфраструктуре,,,,
119226737,Специалист Genesys,,,,
119569122,Менеджер масштабных IT проектов,,,,
119213177,Программист 1С,,,,
118706571,Дизайнер,,,,
120043065,Младший специалист администрирования строительных проектов,,,,
119250006,Продавец-флорист,,,,
119399403,Системный администратор,,,,
119425568,Координатор проектов Сервисной службы,"MS Office, Планирование, Деловая переписка, Деловая коммуникация, Организационные навыки",,От 1 года до 3 лет,107
119631821,Системный аналитик (Full stack аналитик),"BPMN, UML, Scrum, Бизнес-анализ, Системный анализ, Разработка технических заданий, Системный подход, Use Case Analysis, SOAP, User Story, SQL, PostgreSQL, Use case, Постановка задач разработчикам",Удалённо,От 3 до 6 лет,164
119422814,Менеджер по бережливому производству/LEAN менеджер,,,От 3 до 6 лет,107
115363051,Разработчик C# (Full stack/Middle/Senior),"C#, .NET Framework, ASP.NET, PostgreSQL, MS SQL",,От 3 до 6 лет,96
117482743,Руководитель проектов АСУ ТП,,На месте работодателя,От 3 до 6 лет,107
118933170,Инженер по информационной безопасности,,На месте работодателя,От 3 до 6 лет,116
120055897,Аналитик 1С по производственному учету,"ERP-системы на базе 1С, Моделирование бизнес-процессов, Анализ бизнес-процессов, Документирование бизнес-требований",Удалённо,От 3 до 6 лет,10
118262248,Руководитель проекта по заказной разработке электроники,"Коммуникативные навыки, Ведение переговоров, Аналитический склад ума, Самоорганизация, Управление стейкхолдерами, Технический кругозор",Удалённо,От 3 до 6 лет,107
119336694,"Системный аналитик, middle+",,Удалённо,От 3 до 6 лет,148
119525413,Frontend-разработчик,"JavaScript, Git, HTML, CSS, jQuery, Bootstrap, UI, UX, React, Angular, VueJS, 1С-Битрикс",Удалённо,От 3 до 6 лет,96
119678601,DevOps-инженер,"Linux, Kubernetes, Prometheus, CI/CD",На месте работодателя,От 1 года до 3 лет,160
119538705,Дизайнер,"Разработка концепции, SketchUp, Lumion, Архитектурная деятельность, Photoshop, 3D Max, Быстро учусь, Дружелюбность, Желание учиться, Опытный пользователь ПК, знание MS Office, Желание учиться и развиваться, AutoCAD, CorelDRAW, Adobe InDesign",На месте работодателя,От 1 года до 3 лет,34
119567968,Разработчик 1С,"1C: ERP, 1С программирование",,От 1 года до 3 лет,96
110801854,Руководитель отдела дизайна,"Креативность, Графический дизайн, Организаторские навыки, Творческое мышление, Генерация идей",,От 3 до 6 лет,34
117511362,Инженер связи,ВОЛС,,От 1 года до 3 лет,112
120077069,Project-Менеджер на OZON,"Деловое общение, Планирование продаж, Построение воронки продаж, Анализ воронки продаж, Деловая коммуникация",Удалённо,От 1 года до 3 лет,107
119341421,Инженер по безопасности движения,,На месте работодателя,От 1 года до 3 лет,116
119681795,Главный специалист в отдел систем связи/Инженер-проектировщик в отдел связи,,,От 1 года до 3 лет,112
119780808,Продуктовый маркетолог,,На месте работодателя,От 3 до 6 лет,73
119759352,Fullstack-аналитик/Системный/Бизнес-аналитик,"SQL, BPMN, UML, JSON API, PostgreSQL",Удалённо,От 3 до 6 лет,10
119893156,Аналитик 1С: Документооборот + 1С: Управление Производственным Предприятием (ДО + УПП),"1С: Документооборот, 1С: Предприятие 8, 1С: Бухгалтерия",Гибрид,От 3 до 6 лет,10
119282583,Директор по строительству (водоснабжение и водоотведение),"Организаторские навыки, Организация и контроль работы персонала, Системы канализации и водоснабжения",На месте работодателя,Более 6 лет,125
119412089,Координатор группы дизайна,,Удалённо,От 1 года до 3 лет,107
117877257,Руководитель проекта,,,От 3 до 6 лет,107
119321182,Программист встраиваемых систем (микропроцессоров),"Программирование микроконтроллеров, Схемотехника электронного оборудования, Разработка ПО, C++, Altium Designer",,От 1 года до 3 лет,96
119237429,Аналитик в отдел планирования и анализа,,На месте работодателя,От 1 года до 3 лет,156
119541653,Системный администратор,,,,
118748925,Младший аналитик по информационной безопасности (DLP),,,,
87900036,Консультант 1С по регламентированному учету,,,,
119506895,Инженер мониторинга,,,,
115131666,Middle/Senior C# разработчик (.net),,,,
118510635,"QA automation engineer (Казань, офис)",,,,
119651482,Дизайнер (мебель),,,,
120010296,Fullstack-разработчик (Node.js),,,,
119955977,Главный специалист в отдел учета расходов,,,,
107952779,Ведущий системный аналитик,,,,
117326072,Программист С++,,,,
120065580,Руководитель направления по развитию продуктов корпоративного бизнеса,,,,
119424308,Выездной инженер по обслуживанию POS - терминалов,,,,
118355133,Методолог (внутренний аудитор) по группе компаний,,,,
119302681,CDTO (Директор по цифровому развитию/цифровой трансформации),,,,
118462193,Senior DevOps,"Linux, Docker, Kubernetes, DevOps, Azure, Camunda",Удалённо,Более 6 лет,160
119867663,Руководитель отдела BI,,,,
101349862,Эксперт по информационной безопасности,,,,
117483935,Инженер-программист 1С,,,,
120071748,Ведущий разработчик С++,,,,
119336642,Программист 1 С,,,,
118453315,Бизнес-аналитик претензионной работы,,,,
119432378,Project Manager / Руководитель проектов по ИБ,,,,
119075256,Директор по развитию бизнеса с крупными корпоративными клиентами в регионах,,,,
119186870,Дизайнер корпусной мебели (КУХНИ),,,,
119892443,Консультант технической поддержки 1С,,,,
112709453,Руководитель отдела аналитики и экономической отчетности,,,,
114993337,Senior iOS-разработчик,,,,
117572855,Программист 1С,,,,
111064249,Менеджер проектных продаж (Строительство),,,,
119347455,Программист 1С,,,,
119538069,Junior/Middle Risk Analyst,,,,
106453701,Системный архитектор,,,,
119695706,Аналитик процессного офиса,,На месте работодателя,От 1 года до 3 лет,150
118222948,Руководитель службы ИТ-инфраструктуры,,,,
119354099,Ведущий бизнес-аналитик внедрения,,,,
118857748,Программист 1С:ERP,"1С программирование, ERP-системы на базе 1С, Разработка технических заданий, Обновление конфигурации 1С, 1C: ERP",Удалённо,От 3 до 6 лет,96
119232913,Администратор систем СХД и СРК,,,,
119538070,SRE-инженер,,На месте работодателя,От 3 до 6 лет,160
119942605,Мобильный разработчик (React Native / Flutter),"React Native, Flutter, Dart, JavaScript, TypeScript, Firebase, SQLite, Redux",Удалённо,От 1 года до 3 лет,96
120038796,Аналитик 1С по оперативному учету,,,,
119422813,Менеджер по бережливому производству/LEAN менеджер,,,От 3 до 6 лет,107
108263387,Начальник управления АСУ ТП,,,От 1 года до 3 лет,96
119267736,Системный администратор,,,,
119561918,Senior PHP Laravel разработчик,,,,
119946611,Senior .net developer,,,Более 6 лет,96
117480880,Специалист IT-проектов,,,,
119317000,Fullstack разработчик PHP / Bitrix,,,,
119858161,Специалист по архитектуре ИБ,"DevSecOps, Linux, Docker, Kubernetes, OpenShift",Удалённо,От 3 до 6 лет,116
97597671,Программист 1С,,,,
119871078,Руководитель проекта (строительство),,,,
119383312,Web middle разработчик (PHP + Bootstrap 4 + jQuery),"PHP, MySQL, HTML, Bootstrap, jQuery, Git, REST API, Sphinx, Docker-compose",Удалённо,От 1 года до 3 лет,96
119635725,Разработчик Битрикс24 Fullstack,,,,
120016898,Консультант 1С: Бухгалтерия,,,,
115592331,Видео-монтажер / Моушен дизайнер,,,От 1 года до 3 лет,34
118583408,Дизайнер по проектированию шоу-румов,,,,
120033558,Преподаватель — организатор основ безопасности и защиты Родины,,,,
119053736,Региональный директор по запуску,,,От 1 года до 3 лет,107
117892234,Инженер-программист С++,,,,
118572016,Координатор по работе с департаментом продаж (Аналитик),,,,
119843613,Системный аналитик 1С,"1С ERP, CRM, RestAPI, JSON, XML, Swagger, SQL, Confluence, Atlassian Jira, Use case, Use Story",Удалённо,От 1 года до 3 лет,148
117651097,Ведущий специалист (сетевой инженер),"Juniper, Cisco, ЦОД, OSPF, BGP",На месте работодателя,От 3 до 6 лет,112
118017073,Графический дизайнер социальных сетей Рекламы,,Удалённо,От 1 года до 3 лет,34
119062274,Senior Backend Developer,"Java, Python, C#, Go, TypeScript, Linux",На месте работодателя,От 3 до 6 лет,96
119025382,BI разработчик (офис),,На месте работодателя,От 1 года до 3 лет,156
119696806,Middle Backend Developer (Node.js),"TypeScript, JavaScript, PostgreSQL, Node.js",Удалённо,От 1 года до 3 лет,96
118804544,Системный администратор,"Средства криптографической защиты информации, Администрирование сетевого оборудования, Настройка сетевых подключений, Техническая поддержка пользователей, Техническая поддержка",,От 1 года до 3 лет,113
119508340,DevOps Engineer,,,От 1 года до 3 лет,160
117370590,DevOps-инженер,"Linux, CI/CD, Kubernetes, DevOps, Ansible, HTTP, Git, Jenkins",,От 3 до 6 лет,160
119923591,Аналитик по сетевой безопасности,,,От 1 года до 3 лет,116
119512411,Frontend-разработчик Angular (junior),"HTML, CSS, Angular, REST API, JavaScript",Гибрид,От 1 года до 3 лет,96
119962339,Разработчик C# и Vue.js (офис),"VueJS, JavaScript, REST API, TypeScript, C#, Microsoft Visual Studio, .NET Framework, ASP.NET, .NET Core, Entity Framework, ASP.NET MVC, MS Visual Studio, ASP.NET Core, Оптимизация кода, Рефакторинг кода, MVC",На месте работодателя,От 1 года до 3 лет,96
120037600,Ведущий аналитик 1С ERP,,На месте работодателя,От 3 до 6 лет,157
119338697,Программист 1С,"1С программирование, 1С: Предприятие 8, Работа с базами данных, 1С: Документооборот, 1С: Розница",Удалённо,Более 6 лет,96
119484682,Системный администратор,,На месте работодателя,От 1 года до 3 лет,113
119765256,Специалист по внедрению СЗИ,"Astra Linux, Эксплуатационная документация, SIEM",,От 1 года до 3 лет,116
118903274,Инженер развития и внедрения СДТУ,"Системы видеонаблюдения, Информационные технологии, слаботочные системы, эксплуатация СДТУ, системы телефонии",,От 1 года до 3 лет,126
116750997,"Менеджер по проектным продажам (электротехника, сегмент инфраструктура)","Работа с ключевыми клиентами, Планирование продаж, B2B Продажи, Развитие продаж, Развитие ключевых клиентов",,От 3 до 6 лет,107
119882150,Консультант 1с/Аналитик 1с (Middle),"ERP-системы на базе 1С, Финансовый анализ, Бюджетирование, Управленческая отчетность, Оптимизация бизнес-процессов, Ведение переговоров, 1С: Управление Производственным Предприятием",Удалённо,От 1 года до 3 лет,96
119191949,Backend Developer (.NET) в команду AuthTeam,".NET Core, PostgreSQL, MS SQL, Secuity Software",На месте работодателя,От 3 до 6 лет,96
119275716,Middle+ / Senior ML-инженер,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence",Удалённо,Более 6 лет,165
120117089,Руководитель проектов по информационной безопасности,,Удалённо,От 3 до 6 лет,107
119948970,Automated Load Testing Engineer,,,От 1 года до 3 лет,124
118510834,Специалист устройств самообслуживания,,На месте работодателя,Нет опыта,114
118899663,Менеджер по работе с корпоративными клиентами (не продажи),,На месте работодателя,От 3 до 6 лет,73
120178441,Инженер-программист станков с ЧПУ,"CAD, Компас-3D, Наладка оборудования, Разработка технической документации, Чтение электрических схем",На месте работодателя,От 1 года до 3 лет,96
119178638,Middle PHP Developer,"PHP, ООП, REST API, Docker, RabbitMQ",Удалённо,От 3 до 6 лет,96
110103465,Главный кредитный аналитик,,,Нет опыта,10
118725073,Middle system analyst (Web),"REST API, Postman, UML, BPMN, Atlassian Jira, YouTrack, Atlassian Confluence, Разработка технических заданий, Моделирование бизнес процессов, Постановка задач разработчикам, Управление проектами, Agile, Scrum",,От 1 года до 3 лет,148
118438801,Менеджер по работе с проектными организациями,,,От 1 года до 3 лет,107
119249625,Инженер-алгоритмист (Matlab/Simulink),,,От 3 до 6 лет,96
119555425,Руководитель направления развития кредитных карт,,На месте работодателя,От 3 до 6 лет,155
119292436,"Аналитик по информационной безопасности (управление уязвимостями, патчинг)","Информационная безопасность, Сканеры безопасности",,От 1 года до 3 лет,116
120098649,Ведущий программист 1С,"1С: Зарплата и управление персоналом, 1С: Предприятие 8, 1С: Бухгалтерия, 1С программирование, 1C: Бухгалтерия",,От 1 года до 3 лет,96
120099597,1С Программист,"1С: Комплексная автоматизация, регламентированный учет, 1С управление холдингом, налоговый мониторинг",Удалённо,От 3 до 6 лет,96
104050377,Методолог (Дирекция цифрового факторинга),,,От 1 года до 3 лет,155
119948711,Старший системный администратор (Linux/Windows),,Гибрид,От 3 до 6 лет,113
119640609,Team Lead frontend разработчик (Мои Сервисы),,,Более 6 лет,96
119787090,Консультант/практикант в Отдел по оптимизации бизнес процессов,,Удалённо,Нет опыта,156
97128040,Backend PHP developer (symfony) на проект ДБО,"PHP, PHP5, PHP8, Symfony, SQL, MySQL",,От 3 до 6 лет,96
118245866,Преподаватель (Разработка мобильных приложений),,,От 1 года до 3 лет,96
118913557,Инженер группы поддержки ИТ-инфраструктуры,,На месте работодателя,От 3 до 6 лет,113
114974612,Руководитель проекта,"Организаторские навыки, Деловая переписка, Проектная документация, Руководство коллективом",На месте работодателя,От 3 до 6 лет,107
116741040,Ведущий специалист планирования и координации,,Гибрид,От 1 года до 3 лет,10
119099264,Руководитель проектов,,На месте работодателя,От 3 до 6 лет,107
119734382,Программист 1С,,На месте работодателя,От 1 года до 3 лет,96
118182187,.Net разработчик Middle+/Senior,"C#, .NET Framework, SQL, .NET Core, PostgreSQL",На месте работодателя,От 3 до 6 лет,96
119683106,Системный аналитик с уровнем английского В2 - С1,"Английский язык, Material Design, UML, Use case, BPMN, Figma, REST",Удалённо,От 3 до 6 лет,148
119748324,Начальник отдела связи,,,От 3 до 6 лет,116
115108787,XML / XSLT‑программист,"XML, Xsd, XML/Xslt, XPath, JavaScript",,От 1 года до 3 лет,96
118731923,Бизнес Аналитик,"Бизнес-анализ, Системный анализ, Аналитическое мышление, Анализ бизнес-процессов, Оптимизация бизнес-процессов, Описание бизнес-процессов, Моделирование бизнес-процессов, Разработка бизнес-требований, Автоматизация бизнес-процессов, Управление бизнес процессами, Разработка технических заданий",На месте работодателя,От 3 до 6 лет,150
115785283,Системный аналитик 1С,"1С: Предприятие 8, 1С: Документооборот, 1С: Зарплата и кадры, 1С: Бухгалтерия, Аналитик 1С, Консультант 1С, 1С, Техническое задание",На месте работодателя,От 1 года до 3 лет,10
119514698,Сетевой инженер,"Настройка сетевого оборудования, Cisco, Huawei, Коммутаторы, Маршрутизаторы, Eltex, BGP, OSPF, Juniper, MPLS, L2 VPN, L3 VPN, MikroTik, CCNA",Удалённо,От 3 до 6 лет,112
118200601,Team Lead (Java),Java,,От 3 до 6 лет,104
119694823,Team Lead Python,,Удалённо,От 3 до 6 лет,104
120053430,Руководитель проекта по слаботочке (начальник участка),"Электромонтажные работы, Проектная документация, Строительный контроль, Производство строительно-монтажных работ, Организаторские навыки, Управление проектами, Руководство коллективом, Ведение переговоров, Чтение проектной документации, Строительная документация, Выполнение технического надзора, Взаимодействие с субподрядными организациями, Календарный план строительства, Прокладка кабелей, Чтение электрических схем, Знание нормативной документации ГОСТ и СНиП, Взаимодействие с контролирующими органами, Строительное право, Обеспечение техники безопасности, Охрана труда и техника безопасности, Ведение проектной документации",На месте работодателя,От 3 до 6 лет,107
119442377,Dev-ops/Системный администратор,"Kubernetes, Docker, GitLab CI, Grafana, Kibana",На месте работодателя,От 3 до 6 лет,160
119511189,Администратор удостоверяющего центра (офис),"ПАК ""КриптоПро УЦ"", Linux, КриптоПро",На месте работодателя,От 1 года до 3 лет,116
119342738,Начальник участка,,,,
119484444,Руководитель проектов 1С,,,,
119877640,Конструктор мебели на Базис Мебельщик,,,,
104360201,Senior/Lead C# developer,,,,
118074263,Инженер 1 категории Отдела эксплуатации сетей связи,,,,
119397549,"Разработчик Go, Кредитный конвейер, Ozon Банк",,,,
116152806,Разработчик PostgreSQL/Oracle (middle),,,,
120082714,Релиз менеджер (release manager),,,,
119432575,Начальник отдела информационной безопасности,,,,
119917988,Флорист,,,,
82900846,Консультант-аналитик 1С,,,,
119331636,Системный администратор,,,,
119417753,Флорист,,,,
119637926,Ведущий инженер станционного цеха,,,,
119761199,Руководитель проектов 1С,,,,
116489478,Backend Lead Node.js,,,,
119870892,Сетевой инженер (информационная безопасность),,,,
117325843,Senior backend developer,,,,
119093999,Аналитик данных службы поддержки,,,,
119299790,Дизайнер-консультант в ателье мебели Mr.Doors,,,,
119581356,Инженер-программист АСУ ТП (робототехника),,,,
119777895,Специалист по анализу защищенности (Pentest),,,,
119781784,Главный инженер производства,,,,
118455631,Системный аналитик / Аналитик / Разработчик BPM,,,,
120057653,"Fullstack-разработчик (Angular, Node js, PHP)",,,,
120077579,Ведущий методолог 1С по 1С:ЗУП КОРП,,,,
119251682,Ведущий системный аналитик/Team lead команды,,,,
119910137,Системный аналитик (Senior),,,,
116152841,Разработчик ПП «ПАРУС 8» (СУБД Oracle) middle,"HTML, XML, JSON, SQL, Oracle Pl/SQL, СУБД, Crystal Reports 11",,От 1 года до 3 лет,96
118683446,Автор научных работ по дизайну,,,,
119574115,Ведущий специалист по защите информации,,,,
117190763,Инженер по мониторингу сети,,,,
119301212,Системный архитектор,,,,
120124296,Программист 1С,,,,
119267525,Android developer,,,,
119432201,Инженер мультимедийного оборудования,,,,
119582282,Инженер электрического цеха,,,,
106967952,Разработчик 1C (middle),,Удалённо,От 1 года до 3 лет,96
111000759,Инженер-программист Directum RX,,,,
119852110,DevOps-инженер,,,,
82900844,Консультант-аналитик 1С,"1С: Предприятие, Автоматизация, BPMN, IDEF0, Грамотная речь, Моделирование бизнес процессов, Консультирование",Удалённо,От 1 года до 3 лет,10
120043117,DevOps,,,,
119540281,Аналитик информационной безопасности (Web-аналитика),,,,
118564485,Консультант по информационным системам / бизнес-аналитик,,На месте работодателя,От 1 года до 3 лет,150
119573273,1С разработчик (ученик),,,,
117458646,Специалист по ГО и ЧС,,,,
119283700,Программист 1С,,На месте работодателя,От 1 года до 3 лет,96
118253312,Программист 1С,,,,
119744000,Менеджер проектных продаж (офисная дизайнерская мебель),,,,
84571544,Системный аналитик ДБО СМБ,,,От 3 до 6 лет,10
117456548,Ведущий инженер по развитию ИТ-инфраструктуры,,,,
119444932,Системный аналитик,,,,
119755205,Ведущий разработчик интеграций 1С,,,От 3 до 6 лет,96
87638446,Аналитик 1С ERP/УХ,,,,
119248684,Консультант-аналитик 1С ERP (Себестоимость),"1С, 1C: ERP, Бухгалтерский учет",Удалённо,От 1 года до 3 лет,10
120084191,Программист 1С,"1С-Битрикс, 1С программирование, 1С: Бухгалтерия, 1С: Управление Торговлей, 1С: Предприятие 8, ERP-системы на базе 1С",Удалённо,От 3 до 6 лет,96
108440782,Специалист по pаботе с проектными организациями,,,,
117666012,Главный специалист (Отдел реинжиниринга и обучения),,,,
119960028,Разработчик 1С,,,,
107076220,Программист 1С,,,,
118288664,Аналитик по информационной безопасности (Сопровождение доступов),,,,
115226764,Пресейл - архитектор,,,,
119297772,Java Fullstack Teamlead,,,,
119777912,Специалист по информационной безопасности,,,,
119527163,Инженер по внедрению КТПП,,,,
103028968,Консультант-аналитик 1С,,,,
109449430,Разработчик 1С Senior,,,,
118148518,Ведущий бизнес-аналитик,,,,
113153015,Инженер - программист 2 категории,,,,
119914756,LEAN менеджер,,,От 3 до 6 лет,107
118811724,Golang разработчик (Lead),,,,
118844745,Middle+ / Senior Data-инженер,,,,
118022878,Начальник отдела управления инцидентами информационной безопасности,,,,
120062089,Системный аналитик 1С,,,,
119382582,Менеджер-аналитик маркетплейсов,,,,
119374394,Главный инженер-эксперт по ИБ,"Информационная безопасность, Инженерные системы, DDoS, Linux, СЗИ",На месте работодателя,От 3 до 6 лет,116
82895769,Программист 1С,,,,
117651096,Ведущий специалист (сетевой инженер),,,,
117217097,Руководитель службы эксплуатации базовых сервисов,,На месте работодателя,От 3 до 6 лет,36
103027606,Консультант-аналитик 1С,"1С: Предприятие, Автоматизация, BPMN, IDEF0, Грамотная речь, Моделирование бизнес процессов, Консультирование",Удалённо,От 1 года до 3 лет,10
118147649,Сетевой инженер (оборудование RDP/RDP-I),"OSPF, BGP, Английский язык, MPLS, L2 VPN, L3 VPN, Системная интеграция, CCNP, CCNA, Информационные технологии, Сетевые технологии, RDP, Техническая поддержка",Удалённо,От 1 года до 3 лет,112
117665709,Системный администратор POS-терминалов,,,Нет опыта,113
119676448,Программист 1С,"1С программирование, Желание учиться и развиваться, Системность, Решение проблем",Удалённо,От 3 до 6 лет,96
119139550,Системный администратор,,,,
119315654,Программист 1С (Розница),"1С программирование, 1С: Розница",Удалённо,От 3 до 6 лет,96
